y,m,d,Ta,Rs_in,Rl_in,Da,Pa,Prec,WS,Ca,Albedo,emiss,LAI,Hc
2011,1,1,25.177,322.34,373.435,19.477,98.933,0.905,1.948,390.93,0.135,0.984,1.5,28
2011,1,2,18.742,369.891,321.298,10.673,99.331,0,3.241,390.9435484,0.13475,0.984,1.5,28
2011,1,3,16.626,372.732,302.404,9.774,99.409,0,3.667,390.9570968,0.1345,0.984,1.5,28
2011,1,4,18.714,381.975,314.716,11.636,98.995,0,1.742,390.9706452,0.13425,0.984,1.5,28
2011,1,5,18.471,342.724,327.956,9.841,98.774,0,3.264,390.9841935,0.134,0.984,1.5,28
2011,1,6,21.912,372.203,341.696,14.362,98.771,0,1.683,390.9977419,0.13375,0.984,1.5,28
2011,1,7,26.026,310.631,368.224,21.519,98.77,0,2.8,391.0112903,0.1335,0.984,1.5,28
2011,1,8,26.641,318.406,382.957,21.165,98.831,0,2.806,391.0248387,0.13325,0.984,1.5,28
2011,1,9,22.937,220.118,395.713,11.453,99.403,0.646,3.673,391.0383871,0.133,0.984,1.5,28
2011,1,10,21.552,69.795,412.24,4.746,99.213,15.726,2.163,391.0519355,0.132625,0.984,1.5,28
2011,1,11,20.805,46.646,406.182,2.784,98.837,17.071,2.782,391.0654839,0.13225,0.984,1.5,28
2011,1,12,21.913,88.548,416.487,1.93,98.391,26.309,4.045,391.0790323,0.131875,0.984,1.5,28
2011,1,13,22.769,34.82,422.763,3.053,98.51,15.609,4.031,391.0925806,0.1315,0.984,1.5,28
2011,1,14,22.042,130.304,399.662,5.418,98.304,25.795,3.113,391.106129,0.131125,0.984,1.5,28
2011,1,15,22.443,365.18,356.764,9.973,98.8,0,1.248,391.1196774,0.13075,0.984,1.5,28
2011,1,16,23.498,359.864,365.263,11.508,98.662,0,1.573,391.1332258,0.130375,0.984,1.5,28
2011,1,17,18.285,346.467,325.014,8.615,98.689,0,3.017,391.1467742,0.13,0.984,1.5,28
2011,1,18,17.102,323.893,325.844,7.321,98.905,0,2.144,391.1603226,0.13,0.984,1.5,28
2011,1,19,17.731,352.144,321.865,7.646,99.062,0,2.559,391.173871,0.13,0.984,1.5,28
2011,1,20,20.74,368.831,330.737,11.152,98.983,0,1.469,391.1874194,0.13,0.984,1.5,28
2011,1,21,23.751,341.8,357.665,16.282,98.934,0,2.191,391.2009677,0.13,0.984,1.5,28
2011,1,22,22.692,337.16,368.601,10.77,99.13,0,1.751,391.2145161,0.13,0.984,1.5,28
2011,1,23,22.81,356.639,355.158,12.067,98.625,0,1.466,391.2280645,0.13,0.984,1.5,28
2011,1,24,20.348,239.499,365.134,10.698,98.387,0.107,2.272,391.2416129,0.13,0.984,1.5,28
2011,1,25,21.156,347.737,357.736,12.826,98.634,0.612,1.218,391.2551613,0.13,0.984,1.5,28
2011,1,26,21.528,342.293,357.499,10.256,99.205,0.692,2.081,391.2687097,0.12975,0.984,1.5,28
2011,1,27,20.363,358.537,329.884,11.308,99.589,0,2.064,391.2822581,0.1295,0.984,1.5,28
2011,1,28,19.327,358.614,318.748,10.077,99.947,0,2.485,391.2958065,0.12925,0.984,1.5,28
2011,1,29,20.698,357.995,330.135,12.331,99.753,0,1.441,391.3093548,0.129,0.984,1.5,28
2011,1,30,26.476,341.839,380.579,22.172,99.45,0,1.969,391.3229032,0.12875,0.984,1.5,28
2011,1,31,29.51,340.703,395.438,27.888,99.031,0,2.241,391.3364516,0.1285,0.984,1.5,28
2011,2,1,29.35,342.429,385.916,28.115,98.56,0,3.796,391.35,0.12825,0.984,1.5,28
2011,2,2,25.472,301.699,399.348,13.098,98.933,1.476,2.297,391.3614286,0.128,0.984,1.5,28
